09/29/2018 10:40:39 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:41 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:45 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:50 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:55 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:40:58 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:00 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:04 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:06 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:14 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:17 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:20 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:22 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:26 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:30 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:32 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:36 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:41 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:45 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:48 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:51 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:55 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:41:59 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:04 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:09 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:11 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:15 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:20 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:24 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:27 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:29 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:34 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:37 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:41 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:44 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:52 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:54 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:42:58 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:02 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:05 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:09 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:12 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:15 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:19 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:24 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:27 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:30 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:33 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:39 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:44 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:49 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:55 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:43:59 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:01 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:04 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:07 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:10 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:13 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:16 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:21 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:24 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:27 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:31 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:33 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
09/29/2018 10:44:37 AM CompletedProcess(args='python deep_thought_helper.py', returncode=0)
