10/23/2018 09:13:13 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:16 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:17 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:20 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:21 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:24 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:27 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:29 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:32 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:38 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:42 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:43 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:45 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:47 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:49 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:54 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:13:55 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:30 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:33 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:35 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:37 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:40 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:41 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:43 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:45 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:48 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:50 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:52 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:55 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:17:58 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:00 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:01 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:02 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:03 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:06 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:09 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:11 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:12 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:16 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:19 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:20 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
10/23/2018 09:18:23 PM CompletedProcess(args='python deep_thought_helper.py', returncode=2)
